Delta_1,Delta_2,m1,m2,e_vumps,dqpt,times
0.4,0.9,1.3,0.1,-0.171086199976,0,[]
-0.4,-0.9,1.4,0.1,-0.239762574943,1,"[4.69,6.02,7.77,8.23,8.66,8.70,8.82,8.95]"
0.4,-0.9,1.4,0.1,-0.202169005655,1,"[5.23,6.20,8.96,8.99,9.05,9.28]"
0.4,0.9,1.4,0.1,-0.166376759643,0,[]
-0.4,-0.9,1.5,0.1,-0.228581301885,1,"[4.82,6.08,7.80,8.17,8.76,8.83,9.06]"
0.4,-0.9,1.5,0.1,-0.194298556656,1,"[5.34,6.23,9.03,9.36]"
0.4,0.9,1.5,0.1,-0.161935236883,0,[]
-0.4,-0.9,1.0,0.1,-0.297199876567,1,"[4.72,5.48,7.69,8.26,8.28,8.49]"
-0.4,0.9,1.0,0.1,-0.205982325557,0,[]
0.4,-0.9,1.0,0.1,-0.242884689643,1,"[4.63,6.01,7.70,8.29,8.66,8.68,8.82,8.97]"
0.4,0.9,1.0,0.1,-0.186804796579,0,[]
0.5,0.5,0.01,0.5,-0.27974941758,1,[9.16]
0.5,0.5,0.02,0.5,-0.293106770503,1,[]
0.5,0.5,0.03,0.5,-0.303081279548,0,[]
0.5,0.5,0.04,0.5,-0.311202963798,0,[]
0.5,0.5,0.05,0.5,-0.318094486073,0,[]
0.5,0.5,0.06,0.5,-0.324086538126,0,[]
0.5,0.5,0.07,0.5,-0.329381181114,0,[]
0.5,0.5,0.08,0.5,-0.334113277667,0,[]
0.5,0.5,0.09,0.5,-0.338378517106,0,[]
0.5,0.5,0.15,0.5,-0.357225238087,0,[]
-0.5,-0.5,0.1,0.0,-0.39677615277,0,[]
0.5,0.5,0.1,0.5,-0.342247920139,0,[]
0.5,0.5,0.25,0.5,-0.374195438142,0,[]
-0.5,-0.5,0.2,0.0,-0.388379237564,0,[]
0.5,0.5,0.2,0.5,-0.367283908265,0,[]
0.5,0.5,0.35,0.5,-0.382042016073,0,[]
-0.5,-0.5,0.3,0.0,-0.375053563479,0,[]
0.5,0.5,0.3,0.5,-0.378917360427,0,[]
0.5,0.5,0.45,0.5,-0.384975377525,0,[]
-0.5,-0.5,0.4,0.0,-0.358224873542,0,[]
0.5,0.5,0.4,0.5,-0.383967281343,0,[]
-0.5,-0.5,0.5,0.0,-0.339318098586,0,[]
-0.5,0.5,0.5,0.5,-0.356552032545,0,[]
-0.5,-0.5,0.0,0.1,-0.39951555919,0,[]
0.5,0.5,0.0,0.1,-0.249997890476,0,[]
-0.5,-0.5,0.0,0.2,-0.399513277884,0,[]
0.5,0.5,0.0,0.2,-0.249997890475,0,[]
-0.5,-0.5,0.0,0.3,-0.399510996578,0,[]
0.5,0.5,0.0,0.3,-0.249997890475,1,[7.95]
-0.5,-0.5,0.0,0.4,-0.399508715272,1,[9.13]
0.5,0.5,0.0,0.4,-0.249997890475,1,[6.42]
-0.5,-0.5,0.0,0.5,-0.399506433966,1,[6.19]
0.5,0.5,0.0,0.5,-0.249997890474,1,"[5.47,9.29]"
-0.5,-0.9,0.1,0.1,-0.4712596237,0,[]
-0.5,0.9,0.1,0.1,-0.160517515373,1,[4.32]
0.5,-0.9,0.1,0.1,-0.416205878508,0,[]
0.5,0.9,0.1,0.1,-0.219471830993,0,[]
-0.5,-0.9,0.2,0.1,-0.463246301281,0,[]
-0.5,0.9,0.2,0.1,-0.175981429193,0,[]
