m1,Delta_1,e
0.0,-0.9,-0.3073496496464617
0.0,0.1,-0.41332191246681954
0.0,0.2,-0.41702124758060677
0.0,0.3,-0.4201466760358734
0.0,0.4,-0.42273939766054114
0.0,0.5,-0.42483045415643056
0.0,0.6,-0.4264422404899426
0.0,0.7,-0.42758953063550953
0.0,0.8,-0.42827954188674255
0.0,0.9,-0.4285113332986708
0.0,0.0,-0.40899462610800763
1.1,-0.1,-0.41772818789409966
1.1,-0.2,-0.42016393632339943
1.1,-0.3,-0.42254290250340987
1.1,-0.4,-0.4248403615249535
1.1,-0.5,-0.42702680883887173
1.1,-0.6,-0.4290664824275499
1.1,-0.7,-0.4309146469664093
1.1,-0.8,-0.432512069666723
1.1,-0.9,-0.4337726358598516
1.1,0.1,-0.4127664512103801
1.1,0.2,-0.4102728059049531
1.1,0.3,-0.40778790036818796
1.1,0.4,-0.40532195655596276
1.1,0.5,-0.40288336267236907
1.1,0.6,-0.40047892053543677
1.1,0.7,-0.39811406525251214
1.1,0.8,-0.39579306002683157
1.1,0.9,-0.39351916826017025
1.1,0.0,-0.4152565011306078
1.2,-0.1,-0.4122379138903097
1.2,-0.2,-0.4147010298885065
1.2,-0.3,-0.4171449859114816
1.2,-0.4,-0.4195521531331257
1.2,-0.5,-0.42190142779979734
1.2,-0.6,-0.4241673785770414
1.2,-0.7,-0.4263188423998146
1.2,-0.8,-0.42831633361240656
1.2,-0.9,-0.43010671872484285
1.2,0.1,-0.4073106711227775
1.2,0.2,-0.4048689698065419
1.2,0.3,-0.40245359966396754
1.2,0.4,-0.4000713232199452
1.2,0.5,-0.3977275533310097
1.2,0.6,-0.3954265467947298
1.2,0.7,-0.3931715743483468
1.2,0.8,-0.39096506958947613
1.2,0.9,-0.38880875897461564
1.2,0.0,-0.40977037089871227
1.3,-0.1,-0.4068715523932595
1.3,-0.2,-0.4093082423644906
1.3,-0.3,-0.4117519048657263
1.3,-0.4,-0.41419026842823786
1.3,-0.5,-0.41660851895733797
1.3,-0.6,-0.41898876267004426
1.3,-0.7,-0.42130923104492685
1.3,-0.8,-0.4235429654248997
1.3,-0.9,-0.42565537278418264
1.3,0.1,-0.4020577722290396
